Name,Category,Address,Facebook,Twitter,Instagram,YouTube,LinkedIn,TripAdvisor,Yelp,Pinterest,Houzz,ReverbNation,Website,Phone,Email,Contact,Owner,Dining,Hot Drinks,Hard Drinks,Shopping,Party,Lodging,Activities,Photo
Uriel's Unusual Bookstore,Retail,301 East,https://www.facebook.com/Uriels-Unusual-Bookstore-157714834897753/,,,,,,,,,,https://urielssgf.com,,,,,,,,1,,,,
C-Street Boutique,Retail,225 East,https://www.facebook.com/TheCStreetBoutique/,,,,,,,,,,,(417) 770-6511,thecstreetboutique@gmail.com,,,,,,1,,,,
Ms. Gilmore's Vintage Suitcase,Retail,211 East,,,,,,,,,,,,,,,,1,1,,1,1,,,
Chabom Teas and Spices,Retail,209 East,https://www.facebook.com/ChabomTeasSpices/,,https://www.instagram.com/chabomteaspice,,,,,https://www.pinterest.com/chabomteaspice/,,,https://www.chabomteaspice.com,(417) 719-4311,chabomteaspice@gmail.com,,"Café Cusco, LLC",,1,,1,,,,
MJ's Flea Market,Retail,208 East,https://www.facebook.com/pages/MJs-Flea-Mart/537992372890902,,,,,,,,,,,(417) 831-9441,,,,,,,1,,,,
A Wench in the Gear,Retail,213 West,https://www.facebook.com/A.Wench.in.the.Gear/,,https://www.instagram.com/a.wench.in.the.gear/,,,,,,,,https://www.awenchinthegear.com,(417) 766-4190,ccguice@awenchinthegear.com,,,,,,1,,,,
Sangha Yoga,Retail,215 West,https://www.facebook.com/sanghaspringfield/,,http://instagram.com/sanghastudio417,,,,,,,,https://sanghaspringfield.com,(417) 300-4490,sanghaspringfield@gmail.com,,,,,,1,,,1,
Hakaar's Bazaar,Retail,217 West,https://www.facebook.com/hakaarsbazaar/,,,,,,,,,,http://hakaarsbazaar.com,(417) 771-8420,owners@hakaarsbazaar.com,,,,,,1,,,,
Artifacts,Retail,410 West,https://www.facebook.com/417artifacts/,,,,,,,,,,,(417) 268-8266,,,,,,,1,,,,
Cymphony's,Retail,426 West,,,https://www.instagram.com/cymphonysoncstreet/,,,,,,,,,(417) 326-9432,cindyuhoo73@gmail.com,Cindy Ussery,,,,,1,,,,
Furniture & More,Retail,430 West,,,,,,,,,,,,,,,,,,,1,,,,
C-Street Used Furniture,Retail,436 West,,,,,,,,,,,,,,,,,,,1,,,,
Brown Derby,Retail,,,,,,,,,,,,,,,,,,,,1,,,,
Price Cutter,Retail,,,,,,,,,,,,,,,,,,,,1,,,,
Midtown Appliances,Retail,430 West,https://www.facebook.com/midtownappliances/,,,,,,,,,,,(417) 832-8065,midtownappliances@gmail.com,,,,,,1,,,,
Ensley & Swann Boutique and Marketplace,Retail,200 East,,,,,,,,,,,,,,,,,,,,,,,
